"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"5/8/2024 9 p.m. CDT",33433,33327,35042,1609
SOCO,"5/8/2024 10 p.m. CDT",31160,30909,32280,1120
SOCO,"5/8/2024 11 p.m. CDT",29025,28436,29121,96
SOCO,"5/9/2024 12 a.m. CDT",27256,26341,26907,-349
SOCO,"5/9/2024 1 a.m. CDT",26128,24866,25919,-209
SOCO,"5/9/2024 2 a.m. CDT",25194,23968,25310,116
SOCO,"5/9/2024 3 a.m. CDT",24525,23338,24801,276
SOCO,"5/9/2024 4 a.m. CDT",24421,23228,24704,283
SOCO,"5/9/2024 5 a.m. CDT",24913,23707,25098,185
SOCO,"5/9/2024 6 a.m. CDT",25866,25046,25805,-61
SOCO,"5/9/2024 7 a.m. CDT",26273,26091,26724,451
SOCO,"5/9/2024 8 a.m. CDT",26847,26727,27279,432
SOCO,"5/9/2024 9 a.m. CDT",27363,27182,28082,719
SOCO,"5/9/2024 10 a.m. CDT",28104,27929,29050,946
SOCO,"5/9/2024 11 a.m. CDT",28413,28222,29309,896
SOCO,"5/9/2024 12 p.m. CDT",28810,28529,30342,1532
SOCO,"5/9/2024 1 p.m. CDT",29324,28971,31197,1873
SOCO,"5/9/2024 2 p.m. CDT",29748,29372,31780,2032
SOCO,"5/9/2024 3 p.m. CDT",30007,29652,32151,2144
SOCO,"5/9/2024 4 p.m. CDT",30319,29982,32520,2201
SOCO,"5/9/2024 5 p.m. CDT",30709,30267,32788,2079
SOCO,"5/9/2024 6 p.m. CDT",30651,30209,32753,2102
SOCO,"5/9/2024 7 p.m. CDT",30146,29736,32040,1894
SOCO,"5/9/2024 8 p.m. CDT",29709,29260,31422,1713
SOCO,"5/9/2024 9 p.m. CDT",28858,28437,30649,1791
SOCO,"5/9/2024 10 p.m. CDT",27073,26663,29039,1966
SOCO,"5/9/2024 11 p.m. CDT",25183,24744,26448,1265
SOCO,"5/10/2024 12 a.m. CDT",23796,23206,24599,803
SOCO,"5/10/2024 1 a.m. CDT",22886,22018,23434,548
SOCO,"5/10/2024 2 a.m. CDT",22216,21180,22859,643
SOCO,"5/10/2024 3 a.m. CDT",21707,20701,22375,668
SOCO,"5/10/2024 4 a.m. CDT",21419,20411,22062,643
SOCO,"5/10/2024 5 a.m. CDT",21709,20724,22357,648
SOCO,"5/10/2024 6 a.m. CDT",22550,22001,23219,669
SOCO,"5/10/2024 7 a.m. CDT",23248,23044,24315,1067
SOCO,"5/10/2024 8 a.m. CDT",23994,23843,25153,1159
SOCO,"5/10/2024 9 a.m. CDT",24714,24605,25947,1233
SOCO,"5/10/2024 10 a.m. CDT",25519,25364,26620,1101
SOCO,"5/10/2024 11 a.m. CDT",26456,26325,27524,1068
SOCO,"5/10/2024 12 p.m. CDT",27530,27345,28758,1228
SOCO,"5/10/2024 1 p.m. CDT",28647,28523,30283,1636
SOCO,"5/10/2024 2 p.m. CDT",29728,29591,31544,1816
SOCO,"5/10/2024 3 p.m. CDT",30554,30412,32071,1517
SOCO,"5/10/2024 4 p.m. CDT",31139,30914,32874,1735
SOCO,"5/10/2024 5 p.m. CDT",31172,30973,32835,1663
SOCO,"5/10/2024 6 p.m. CDT",30387,30197,31851,1464
SOCO,"5/10/2024 7 p.m. CDT",29020,28858,30370,1350
SOCO,"5/10/2024 8 p.m. CDT",27675,27522,29278,1603
SOCO,"5/10/2024 9 p.m. CDT",26873,26634,28525,1652
SOCO,"5/10/2024 10 p.m. CDT",25119,24915,26804,1685
SOCO,"5/10/2024 11 p.m. CDT",23332,23153,23969,637
SOCO,"5/11/2024 12 a.m. CDT",21599,21416,22314,715
SOCO,"5/11/2024 1 a.m. CDT",20481,19972,21514,1033
SOCO,"5/11/2024 2 a.m. CDT",19566,18984,20717,1151
SOCO,"5/11/2024 3 a.m. CDT",18930,18347,20118,1188
SOCO,"5/11/2024 4 a.m. CDT",18604,18000,19831,1227
SOCO,"5/11/2024 5 a.m. CDT",18592,18011,19853,1261
SOCO,"5/11/2024 6 a.m. CDT",18767,18182,20098,1331
SOCO,"5/11/2024 7 a.m. CDT",19195,18775,20861,1666
SOCO,"5/11/2024 8 a.m. CDT",20298,19814,22166,1868
SOCO,"5/11/2024 9 a.m. CDT",21280,20766,23116,1836
SOCO,"5/11/2024 10 a.m. CDT",22231,21654,24013,1782
SOCO,"5/11/2024 11 a.m. CDT",23129,22486,24667,1538
SOCO,"5/11/2024 12 p.m. CDT",23828,23186,25327,1499
SOCO,"5/11/2024 1 p.m. CDT",24272,23910,25756,1484
SOCO,"5/11/2024 2 p.m. CDT",25113,24711,26560,1447
SOCO,"5/11/2024 3 p.m. CDT",25950,25554,27455,1505
SOCO,"5/11/2024 4 p.m. CDT",26803,26393,28380,1577
SOCO,"5/11/2024 5 p.m. CDT",27228,26884,28808,1580
SOCO,"5/11/2024 6 p.m. CDT",27031,26719,28823,1792
SOCO,"5/11/2024 7 p.m. CDT",26050,25785,27793,1743
SOCO,"5/11/2024 8 p.m. CDT",24951,24719,26763,1812
SOCO,"5/11/2024 9 p.m. CDT",24240,24037,25765,1525
SOCO,"5/11/2024 10 p.m. CDT",23009,22820,24565,1556
SOCO,"5/11/2024 11 p.m. CDT",21485,21248,22647,1162
SOCO,"5/12/2024 12 a.m. CDT",20070,19860,20978,908
SOCO,"5/12/2024 1 a.m. CDT",18985,18768,20057,1072
SOCO,"5/12/2024 2 a.m. CDT",18630,18057,19628,998
SOCO,"5/12/2024 3 a.m. CDT",18106,17562,19293,1187
SOCO,"5/12/2024 4 a.m. CDT",18264,17358,19330,1066
SOCO,"5/12/2024 5 a.m. CDT",18236,17322,19316,1080
SOCO,"5/12/2024 6 a.m. CDT",18376,17493,19447,1071
SOCO,"5/12/2024 7 a.m. CDT",18597,18051,19981,1384
SOCO,"5/12/2024 8 a.m. CDT",19663,19251,21241,1578
SOCO,"5/12/2024 9 a.m. CDT",20672,20237,22198,1526
SOCO,"5/12/2024 10 a.m. CDT",21338,21114,22839,1501
SOCO,"5/12/2024 11 a.m. CDT",21793,21639,23213,1420
SOCO,"5/12/2024 12 p.m. CDT",22704,22453,23941,1237
SOCO,"5/12/2024 1 p.m. CDT",23563,23306,24775,1212
SOCO,"5/12/2024 2 p.m. CDT",24501,24246,25616,1115
SOCO,"5/12/2024 3 p.m. CDT",25563,25273,26823,1260
SOCO,"5/12/2024 4 p.m. CDT",26499,26229,27917,1418
SOCO,"5/12/2024 5 p.m. CDT",26979,26777,28601,1622
SOCO,"5/12/2024 6 p.m. CDT",26767,26566,28541,1774
SOCO,"5/12/2024 7 p.m. CDT",26083,25890,27855,1772
SOCO,"5/12/2024 8 p.m. CDT",25776,25587,27446,1670
SOCO,"5/12/2024 9 p.m. CDT",25377,25196,26620,1243
SOCO,"5/12/2024 10 p.m. CDT",23921,23721,25094,1173
SOCO,"5/12/2024 11 p.m. CDT",22154,21945,23044,890
SOCO,"5/13/2024 12 a.m. CDT",20981,20383,22086,1105
SOCO,"5/13/2024 1 a.m. CDT",20226,19271,21163,937
SOCO,"5/13/2024 2 a.m. CDT",19600,18669,20573,973
SOCO,"5/13/2024 3 a.m. CDT",19404,18469,20457,1053
SOCO,"5/13/2024 4 a.m. CDT",19453,18628,20552,1099
SOCO,"5/13/2024 5 a.m. CDT",19987,19432,20945,958
SOCO,"5/13/2024 6 a.m. CDT",21292,20993,22211,919
SOCO,"5/13/2024 7 a.m. CDT",22452,22289,23327,875
SOCO,"5/13/2024 8 a.m. CDT",23225,23281,24311,1086
SOCO,"5/13/2024 9 a.m. CDT",23888,23978,25103,1215
SOCO,"5/13/2024 10 a.m. CDT",24072,24162,25326,1254
SOCO,"5/13/2024 11 a.m. CDT",24317,24221,25499,1182
SOCO,"5/13/2024 12 p.m. CDT",24514,24357,25868,1354
SOCO,"5/13/2024 1 p.m. CDT",24558,24415,26087,1529
SOCO,"5/13/2024 2 p.m. CDT",24452,24302,26169,1717
SOCO,"5/13/2024 3 p.m. CDT",24345,24164,26183,1838
SOCO,"5/13/2024 4 p.m. CDT",24407,24197,26647,2240
SOCO,"5/13/2024 5 p.m. CDT",24651,24405,27305,2654
SOCO,"5/13/2024 6 p.m. CDT",24720,24478,27104,2384
SOCO,"5/13/2024 7 p.m. CDT",24797,24553,26954,2157
SOCO,"5/13/2024 8 p.m. CDT",25068,24852,27230,2162
SOCO,"5/13/2024 9 p.m. CDT",24840,24641,26889,2049
SOCO,"5/13/2024 10 p.m. CDT",23618,23404,25463,1845
SOCO,"5/13/2024 11 p.m. CDT",22088,21845,23368,1280
SOCO,"5/14/2024 12 a.m. CDT",21161,20585,22337,1176
SOCO,"5/14/2024 1 a.m. CDT",20320,19719,21242,922
SOCO,"5/14/2024 2 a.m. CDT",20084,19250,21004,920
SOCO,"5/14/2024 3 a.m. CDT",19915,19066,20758,843
SOCO,"5/14/2024 4 a.m. CDT",19714,19147,20645,931
SOCO,"5/14/2024 5 a.m. CDT",20381,19807,21317,936
SOCO,"5/14/2024 6 a.m. CDT",21678,21509,22695,1017
SOCO,"5/14/2024 7 a.m. CDT",22850,22723,24404,1554
SOCO,"5/14/2024 8 a.m. CDT",23560,23401,25207,1647
